Empresa;Abertura;Mês;Segmento
ABC BRASIL;204,3;1;Serviços Bancários
ABC BRASIL;145,84;2;Serviços Bancários
ABC BRASIL;161,96;3;Serviços Bancários
ABC BRASIL;245,22;4;Serviços Bancários
ABC BRASIL;230,27;5;Serviços Bancários
ABC BRASIL;274,64;6;Serviços Bancários
ABC BRASIL;287,81;7;Serviços Bancários
ABC BRASIL;434,84;8;Serviços Bancários
ABC BRASIL;448,33;9;Serviços Bancários
ABC BRASIL;568,79;10;Serviços Bancários
ABC BRASIL;481,97;11;Serviços Bancários
ABC BRASIL;533,8;12;Serviços Bancários
ABNOTE;374,93;1;Outro
ABNOTE;324,85;2;Outro
ABNOTE;412;3;Outro
ABNOTE;414,15;4;Outro
ABNOTE;622,26;5;Outro
ABNOTE;724,81;6;Outro
ABNOTE;710,06;7;Outro
ABNOTE;650,43;8;Outro
ABNOTE;715,32;9;Outro
ABNOTE;690;10;Outro
ABNOTE;689,25;11;Outro
ABNOTE;1042,9;12;Outro
ABYARA;94,6;1;Outro
ABYARA;86,25;2;Outro
ABYARA;79,39;3;Outro
ABYARA;126,4;4;Outro
ABYARA;123,64;5;Outro
ABYARA;208,39;6;Outro
ABYARA;366,93;7;Outro
ABYARA;586,64;8;Outro
ABYARA;515,74;9;Outro
ABYARA;549,81;10;Outro
ABYARA;341,85;11;Outro
ABYARA;395,98;12;Outro
ACO ALTONA;741,28;1;Outro
ACO ALTONA;569,34;2;Outro
ACO ALTONA;691,91;3;Outro
ACO ALTONA;742,04;4;Outro
ACO ALTONA;1241,31;5;Outro
ACO ALTONA;1223,71;6;Outro
ACO ALTONA;1448,78;7;Outro
ACO ALTONA;985,07;8;Outro
ACO ALTONA;903,81;9;Outro
ACO ALTONA;785,79;10;Outro
ACO ALTONA;988,97;11;Outro
ACO ALTONA;764,03;12;Outro
ACOS VILL;25,86;1;Outro
ACOS VILL;18,2;2;Outro
ACOS VILL;22,62;3;Outro
ACOS VILL;25,41;4;Outro
ACOS VILL;30,95;5;Outro
ACOS VILL;39,21;6;Outro
ACOS VILL;35,87;7;Outro
ACOS VILL;44,34;8;Outro
ACOS VILL;41,2;9;Outro
ACOS VILL;44,47;10;Outro
ACOS VILL;45,75;11;Outro
ACOS VILL;43,5;12;Outro
AES ELPA;450,98;1;Energia Elétrica
AES ELPA;579,09;2;Energia Elétrica
AES ELPA;888;3;Energia Elétrica
AES ELPA;1327,34;4;Energia Elétrica
AES ELPA;1250,02;5;Energia Elétrica
AES ELPA;1463,47;6;Energia Elétrica
AES ELPA;2239,99;7;Energia Elétrica
AES ELPA;1641,22;8;Energia Elétrica
AES ELPA;2035,68;9;Energia Elétrica
AES ELPA;2238,6;10;Energia Elétrica
AES ELPA;1614,59;11;Energia Elétrica
AES ELPA;1577,97;12;Energia Elétrica
AES TIETE;1303,18;1;Energia Elétrica
AES TIETE;1075,08;2;Energia Elétrica
AES TIETE;1444,9;3;Energia Elétrica
AES TIETE;1728,69;4;Energia Elétrica
AES TIETE;1592,09;5;Energia Elétrica
AES TIETE;1778,65;6;Energia Elétrica
AES TIETE;1962,32;7;Energia Elétrica
AES TIETE;2062,7;8;Energia Elétrica
AES TIETE;1974,96;9;Energia Elétrica
AES TIETE;1981,82;10;Energia Elétrica
AES TIETE;1816,78;11;Energia Elétrica
AES TIETE;1848,68;12;Energia Elétrica
AFLUENTE;66,62;1;Outro
AFLUENTE;107,05;2;Outro
AFLUENTE;60,23;3;Outro
AFLUENTE;52,97;4;Outro
AFLUENTE;160,05;5;Outro
AFLUENTE;41,07;6;Outro
AFLUENTE;40,9;7;Outro
AFLUENTE;75,51;8;Outro
AFLUENTE;36;9;Outro
AFLUENTE;118,5;10;Outro
AFLUENTE;115,9;11;Outro
AFLUENTE;59,2;12;Outro
AG CONTINEN;1,03;12;Outro
AG RIO NEGR;9,5;12;Outro
AGRA INCORP;153,49;1;Outro
AGRA INCORP;114,06;2;Outro
AGRA INCORP;90,94;3;Outro
AGRA INCORP;113,63;4;Outro
AGRA INCORP;165,61;5;Outro
AGRA INCORP;201,72;6;Outro
AGRA INCORP;298,12;7;Outro
AGRA INCORP;408,86;8;Outro
AGRA INCORP;539,81;9;Outro
AGRA INCORP;514,26;10;Outro
AGRA INCORP;333,16;11;Outro
AGRA INCORP;443,8;12;Outro
AGRENCO;10,4;1;Outro
AGRENCO;10,91;2;Outro
AGRENCO;31,6;3;Outro
AGRENCO;26,27;4;Outro
AGRENCO;34,03;5;Outro
AGRENCO;49,17;6;Outro
AGRENCO;43,61;7;Outro
AGRENCO;44,4;8;Outro
AGRENCO;47,64;9;Outro
AGRENCO;83,09;10;Outro
AGRENCO;65,4;11;Outro
AGRENCO;174,82;12;Outro
AGROINDL SP;1;12;Outro
AGROMENA;3,69;11;Outro
ALFA CONSOR;125,23;1;Outro
ALFA CONSOR;102,25;2;Outro
ALFA CONSOR;140,28;3;Outro
ALFA CONSOR;156,64;4;Outro
ALFA CONSOR;160,27;5;Outro
ALFA CONSOR;200,33;6;Outro
ALFA CONSOR;351,21;7;Outro
ALFA CONSOR;429,12;8;Outro
ALFA CONSOR;302,12;9;Outro
ALFA CONSOR;206,07;10;Outro
ALFA CONSOR;205,76;11;Outro
ALFA CONSOR;338,63;12;Outro
ALFA FINANC;71,83;1;Outro
ALFA FINANC;55,92;2;Outro
ALFA FINANC;81,76;3;Outro
ALFA FINANC;119,81;4;Outro
ALFA FINANC;131,84;5;Outro
ALFA FINANC;161,28;6;Outro
ALFA FINANC;151,22;7;Outro
ALFA FINANC;165,08;8;Outro
ALFA FINANC;204,98;9;Outro
ALFA FINANC;183,76;10;Outro
ALFA FINANC;178,18;11;Outro
ALFA FINANC;207,59;12;Outro
ALFA HOLDIN;103,29;1;Outro
ALFA HOLDIN;46,36;2;Outro
ALFA HOLDIN;123,32;3;Outro
ALFA HOLDIN;145,54;4;Outro
ALFA HOLDIN;126,01;5;Outro
ALFA HOLDIN;158,67;6;Outro
ALFA HOLDIN;173,06;7;Outro
ALFA HOLDIN;227,7;8;Outro
ALFA HOLDIN;215,97;9;Outro
ALFA HOLDIN;179,42;10;Outro
ALFA HOLDIN;198,1;11;Outro
ALFA HOLDIN;169,21;12;Outro
ALFA INVEST;280,62;1;Outro
ALFA INVEST;223,27;2;Outro
ALFA INVEST;374,32;3;Outro
ALFA INVEST;370,71;4;Outro
ALFA INVEST;313,37;5;Outro
ALFA INVEST;364,84;6;Outro
ALFA INVEST;362,48;7;Outro
ALFA INVEST;348,38;8;Outro
ALFA INVEST;438,79;9;Outro
ALFA INVEST;367,82;10;Outro
ALFA INVEST;471,67;11;Outro
ALFA INVEST;447,15;12;Outro
ALIPERTI;2889;1;Outro
ALIPERTI;699;2;Outro
ALIPERTI;1002;3;Outro
ALIPERTI;1002;4;Outro
ALIPERTI;480;5;Outro
ALL AMER LA;1055,9;1;Outro
ALL AMER LA;731,04;2;Outro
ALL AMER LA;718,42;3;Outro
ALL AMER LA;976,59;4;Outro
ALL AMER LA;1253,31;5;Outro
ALL AMER LA;1232,57;6;Outro
ALL AMER LA;1591,23;7;Outro
ALL AMER LA;1552,13;8;Outro
ALL AMER LA;1427,2;9;Outro
ALL AMER LA;1956,37;10;Outro
ALL AMER LA;1110,82;11;Outro
ALL AMER LA;1448,32;12;Outro
ALLL;1,1;2;Outro
ALLL;10,66;3;Outro
ALLL;11,21;4;Outro
ALLL;17,43;5;Outro
ALLL;36,13;6;Outro
ALLL;21,19;7;Outro
ALLL;53,23;8;Outro
ALLL;60,86;9;Outro
ALLL;24,1;10;Outro
ALLL;42,74;11;Outro
ALLL;53,54;12;Outro
ALLL    /ED;0,24;5;Outro
ALLL    /ES;6,43;10;Outro
ALLLE;0,91;1;Outro
ALLLE;0,34;2;Outro
ALLLE;13,61;4;Outro
ALLLE;13,71;5;Outro
ALLLE;12,5;6;Outro
ALLLE;5,19;7;Outro
ALLLE;26,88;8;Outro
ALLLE;31,89;9;Outro
ALLLE;69,79;10;Outro
ALLLE;56;11;Outro
ALLLE;37,93;12;Outro
ALLLE   /ED;1,15;5;Outro
ALLLE   /ES;2,34;10;Outro
ALPARGATAS;2215,01;1;Outro
ALPARGATAS;1432,15;2;Outro
ALPARGATAS;2004,29;3;Outro
ALPARGATAS;3028,55;4;Outro
ALPARGATAS;4210,84;5;Outro
ALPARGATAS;3538,62;6;Outro
ALPARGATAS;3137,59;7;Outro
ALPARGATAS;3471,48;8;Outro
ALPARGATAS;3685,71;9;Outro
ALPARGATAS;3909,54;10;Outro
ALPARGATAS;5510,73;11;Outro
ALPARGATAS;5728,09;12;Outro
AMAZONIA;32,41;1;Outro
AMAZONIA;33,56;2;Outro
AMAZONIA;40,68;3;Outro
AMAZONIA;36,7;4;Outro
AMAZONIA;33,03;5;Outro
AMAZONIA;43,01;6;Outro
AMAZONIA;38,61;7;Outro
AMAZONIA;39,07;8;Outro
AMAZONIA;40,52;9;Outro
AMAZONIA;42,77;10;Outro
AMAZONIA;32,36;11;Outro
AMAZONIA;41,03;12;Outro
AMAZONIA CE;490,6;1;Outro
AMAZONIA CE;30;2;Outro
AMAZONIA CE;30;3;Outro
AMBEV;11432,75;1;Bebidas
AMBEV;8832,62;2;Bebidas
AMBEV;11335,23;3;Bebidas
AMBEV;9895,18;4;Bebidas
AMBEV;11974,57;5;Bebidas
AMBEV;13725,03;6;Bebidas
AMBEV;12870,29;7;Bebidas
AMBEV;13652,28;8;Bebidas
AMBEV;14840,38;9;Bebidas
AMBEV;15567,79;10;Bebidas
AMBEV;17428,4;11;Bebidas
AMBEV;16230,22;12;Bebidas
AMBV;22,73;1;Bebidas
AMBV;196,06;2;Bebidas
AMBV;313,12;3;Bebidas
AMBV;455,41;4;Bebidas
AMBV;540,3;5;Bebidas
AMBV;380,26;6;Bebidas
AMBV;523,61;7;Bebidas
AMBV;402,93;8;Bebidas
AMBV;14,47;9;Bebidas
AMBV;290;10;Bebidas
AMBV;7,22;11;Bebidas
AMBV;168,91;12;Bebidas
AMBV    /ED;150,11;7;Bebidas
AMBV    /ED;136,52;9;Bebidas
AMBV    /EJ;39,47;1;Bebidas
AMBV    /EJ;6,68;4;Bebidas
AMBVE;19,62;1;Bebidas
AMBVE;42,56;2;Bebidas
AMBVE;23,99;3;Bebidas
AMBVE;120;4;Bebidas
AMBVE;2,11;5;Bebidas
AMBVE   /EJ;251,66;1;Bebidas
AMERICEL;16;1;Outro
AMERICEL;19;3;Outro
AMERICEL;19,92;8;Outro
AMERICEL;87,82;9;Outro
AMERICEL;29,14;10;Outro
AMERICEL;11,42;11;Outro
AMERICEL;12,25;12;Outro
AMIL;242,99;1;Seguros 
AMIL;245,73;2;Seguros 
AMIL;279,7;3;Seguros 
AMIL;301,31;4;Seguros 
AMIL;366,66;5;Seguros 
AMIL;397,22;6;Seguros 
AMIL;423,75;7;Seguros 
AMIL;517,08;8;Seguros 
AMIL;513,91;9;Seguros 
AMIL;531,24;10;Seguros 
AMIL;488,09;11;Seguros 
AMIL;663,45;12;Seguros 
AMPLA ENERG;8,16;1;Outro
AMPLA ENERG;13,97;2;Outro
AMPLA ENERG;16,12;3;Outro
AMPLA ENERG;21,51;4;Outro
AMPLA ENERG;27,13;5;Outro
AMPLA ENERG;36,22;6;Outro
AMPLA ENERG;53,57;7;Outro
AMPLA ENERG;48,38;8;Outro
AMPLA ENERG;59,4;9;Outro
AMPLA ENERG;58,67;10;Outro
AMPLA ENERG;61,49;11;Outro
AMPLA ENERG;54,6;12;Outro
AMPLA INVES;44,91;1;Outro
AMPLA INVES;25;2;Outro
AMPLA INVES;95,01;3;Outro
AMPLA INVES;93,99;4;Outro
AMPLA INVES;128,01;5;Outro
AMPLA INVES;119,2;6;Outro
AMPLA INVES;226,65;7;Outro
AMPLA INVES;58,52;8;Outro
AMPLA INVES;26,02;9;Outro
AMPLA INVES;203,96;10;Outro
AMPLA INVES;42;11;Outro
ANHANGUERA;433,35;1;Educação
ANHANGUERA;402,78;2;Educação
ANHANGUERA;483,24;3;Educação
ANHANGUERA;498,04;4;Educação
ANHANGUERA;663,27;5;Educação
ANHANGUERA;618,66;6;Educação
ANHANGUERA;692,03;7;Educação
ANHANGUERA;815,68;8;Educação
ANHANGUERA;796,95;9;Educação
ANHANGUERA;1011,47;10;Educação
ANHANGUERA;934,12;11;Educação
ANHANGUERA;1074,66;12;Educação
ARACRUZ;713,09;1;Outro
ARACRUZ;578,86;2;Outro
ARACRUZ;740,26;3;Outro
ARACRUZ;740,96;4;Outro
ARACRUZ;822,01;5;Outro
ARACRUZ;870,89;6;Outro
ARACRUZ;711,77;7;Outro
ARACRUZ;826,09;8;Outro
ARACRUZ;901,82;9;Outro
ARACRUZ;910,17;10;Outro
ARACRUZ;374,31;11;Outro
ARCZ;2,68;4;Outro
ARCZ;25,55;5;Outro
ARCZ;3,48;6;Outro
ARCZE;0,84;4;Outro
ARCZE;0,79;5;Outro
ARCZE;6,6;6;Outro
AROSO HOTEI;528,9;4;Outro
ARTHUR LANG;52,93;1;Outro
ARTHUR LANG;70,21;2;Outro
ARTHUR LANG;56,5;3;Outro
ARTHUR LANG;46,7;4;Outro
ARTHUR LANG;88,8;5;Outro
ARTHUR LANG;65,65;6;Outro
ARTHUR LANG;42,16;7;Outro
ARTHUR LANG;101,12;8;Outro
ARTHUR LANG;42,83;9;Outro
AUTOMETAL;1,02;6;Outro
AZEVEDO;1749;9;Outro
AZEVEDO;5321,02;12;Outro
B2W VAREJO;1625,83;1;Varejo
B2W VAREJO;2548,94;2;Varejo
B2W VAREJO;1835,47;3;Varejo
B2W VAREJO;2060,46;4;Varejo
B2W VAREJO;2688,48;5;Varejo
B2W VAREJO;3571,98;6;Varejo
B2W VAREJO;2835,07;7;Varejo
B2W VAREJO;12130,81;8;Varejo
B2W VAREJO;5869,78;9;Varejo
B2W VAREJO;3968,11;10;Varejo
B2W VAREJO;8110,23;11;Varejo
B2W VAREJO;14265,92;12;Varejo
BAHEMA;1146,13;1;Outro
BAHEMA;1010,59;2;Outro
BAHEMA;926,91;3;Outro
BAHEMA;1316,37;4;Outro
BAHEMA;1929,78;5;Outro
BAHEMA;1484,21;6;Outro
BAHEMA;2225,22;7;Outro
BAHEMA;1593,84;8;Outro
BAHEMA;2328,96;9;Outro
BAHEMA;1497,87;10;Outro
BAHEMA;823,49;11;Outro
BAHEMA;833,87;12;Outro
BANESE;184,34;1;Outro
BANESE;88,64;2;Outro
BANESE;134,03;3;Outro
BANESE;230,78;4;Outro
BANESE;342,42;5;Outro
BANESE;503,27;6;Outro
BANESE;472,01;7;Outro
BANESE;450,62;8;Outro
BANESE;542,4;9;Outro
BANESE;423,84;10;Outro
BANESE;417,53;11;Outro
BANESE;492,3;12;Outro
BANESTES;429,74;1;Outro
BANESTES;726,7;2;Outro
BANESTES;718,29;3;Outro
BANESTES;704,61;4;Outro
BANESTES;943,76;5;Outro
BANESTES;881,45;6;Outro
BANESTES;649,16;7;Outro
BANESTES;629,39;8;Outro
BANESTES;595,5;9;Outro
BANESTES;662,24;10;Outro
BANESTES;511,7;11;Outro
BANESTES;559,76;12;Outro
BANPARA;21;5;Outro
BANPARA;15,12;11;Outro
BANRISUL;554,4;1;Serviços Bancários
BANRISUL;464,09;2;Serviços Bancários
BANRISUL;576,59;3;Serviços Bancários
BANRISUL;570,77;4;Serviços Bancários
BANRISUL;642,52;5;Serviços Bancários
BANRISUL;658,28;6;Serviços Bancários
BANRISUL;872,2;7;Serviços Bancários
BANRISUL;890,49;8;Serviços Bancários
BANRISUL;902,97;9;Serviços Bancários
BANRISUL;1094,8;10;Serviços Bancários
BANRISUL;732,86;11;Serviços Bancários
BANRISUL;1056,71;12;Serviços Bancários
BARDELLA;3578,08;1;Outro
BARDELLA;2011,77;2;Outro
BARDELLA;2166,41;3;Outro
BARDELLA;2129,9;4;Outro
BARDELLA;4227,02;5;Outro
BARDELLA;2605,06;6;Outro
BARDELLA;3858,97;7;Outro
BARDELLA;3378,23;8;Outro
BARDELLA;3362,22;9;Outro
BARDELLA;4203,17;10;Outro
BARDELLA;2760,88;11;Outro
BARDELLA;2793,54;12;Outro
BATTISTELLA;16,6;1;Outro
BATTISTELLA;16,62;2;Outro
BATTISTELLA;15,18;3;Outro
BATTISTELLA;22,25;4;Outro
BATTISTELLA;29,95;5;Outro
BATTISTELLA;24,8;6;Outro
BATTISTELLA;30,71;7;Outro
BATTISTELLA;34,3;8;Outro
BATTISTELLA;26,98;9;Outro
BATTISTELLA;43,2;10;Outro
BATTISTELLA;33,75;11;Outro
BATTISTELLA;36,45;12;Outro
BAUMER;25,99;1;Outro
BAUMER;63;2;Outro
BAUMER;47;3;Outro
BAUMER;131;4;Outro
BAUMER;48,07;5;Outro
BAUMER;24;6;Outro
BAUMER;112,75;7;Outro
BAUMER;218,84;8;Outro
BAUMER;65,11;9;Outro
BAUMER;55,77;10;Outro
BAUMER;35;11;Outro
BBAS;9,43;1;Serviços Bancários
BBAS;35,25;2;Serviços Bancários
BBAS;97,09;3;Serviços Bancários
BBAS;133,99;4;Serviços Bancários
BBAS;39,33;5;Serviços Bancários
BBAS;148,73;6;Serviços Bancários
BBAS;29,1;7;Serviços Bancários
BBAS;22,35;8;Serviços Bancários
BBAS;113,47;9;Serviços Bancários
BBAS;67;10;Serviços Bancários
BBAS;30,25;11;Serviços Bancários
BBAS;6,56;12;Serviços Bancários
BBAS    /ED;4,25;2;Serviços Bancários
BBAS    /ED;2,26;3;Serviços Bancários
BBAS    /ED;95,2;5;Serviços Bancários
BBAS    /ED;92,32;8;Serviços Bancários
BBAS    /ED;36,8;11;Serviços Bancários
BBAS    /EJ;1,59;1;Serviços Bancários
BBAS    /EJ;19,4;3;Serviços Bancários
BBAS    /EJ;9,47;4;Serviços Bancários
BBAS    /EJ;3,08;6;Serviços Bancários
BBAS    /EJ;3,08;9;Serviços Bancários
BBAS    /EJ;0,53;12;Serviços Bancários
BBASE;1,02;2;Serviços Bancários
BBASE;1,03;3;Serviços Bancários
BBASE;20,38;4;Serviços Bancários
BBASE;2,33;5;Serviços Bancários
BBASE;30,18;6;Serviços Bancários
BBASE;59,6;7;Serviços Bancários
BBASE;21,67;8;Serviços Bancários
BBASE;127,01;9;Serviços Bancários
BBASE;102,41;10;Serviços Bancários
BBASE;3,93;11;Serviços Bancários
BBASE;70,23;12;Serviços Bancários
BBASE   /ED;0,71;2;Serviços Bancários
BBASE   /ED;20,91;5;Serviços Bancários
BBASE   /ED;49,95;8;Serviços Bancários
BBASE   /ED;5,32;11;Serviços Bancários
BBASE   /EJ;4,51;6;Outro
BBASE   /EJ;1,85;7;Outro
BBASE   /EJ;1,52;9;Outro
BBASE   /EJ;0,3;10;Outro
BBASE   /EJ;0,5;12;Outro
BBDC;32,92;1;Serviços Bancários
BBDC;107,99;2;Serviços Bancários
BBDC;220,7;3;Serviços Bancários
BBDC;220,93;4;Serviços Bancários
BBDC;191,83;5;Serviços Bancários
BBDC;35,35;6;Serviços Bancários
BBDC;174,01;7;Serviços Bancários
BBDC;142,78;8;Serviços Bancários
BBDC;399,98;9;Serviços Bancários
BBDC;304,03;10;Serviços Bancários
BBDC;155,02;11;Serviços Bancários
BBDC;120,91;12;Serviços Bancários
BBDC    /EB;100,34;6;Serviços Bancários
BBDC    /ED;18,6;1;Serviços Bancários
BBDC    /ED;117,67;2;Serviços Bancários
BBDC    /ED;104,09;3;Serviços Bancários
BBDC    /ED;142,34;4;Serviços Bancários
BBDC    /ED;137,81;5;Serviços Bancários
BBDC    /ED;52,84;6;Serviços Bancários
BBDC    /ED;38,92;7;Serviços Bancários
BBDC    /ED;101,21;8;Serviços Bancários
BBDC    /ED;67,11;9;Serviços Bancários
BBDC    /ED;344,17;10;Serviços Bancários
BBDC    /ED;151,09;11;Serviços Bancários
BBDC    /ED;207,37;12;Serviços Bancários
BBDC    /EJ;65,82;7;Serviços Bancários
BBDC    /EJ;76,58;12;Serviços Bancários
BBDC    /EX;54,27;6;Serviços Bancários
BBDCE;19,34;1;Serviços Bancários
BBDCE;104,3;2;Serviços Bancários
BBDCE;150,43;3;Serviços Bancários
BBDCE;317,92;4;Serviços Bancários
BBDCE;171,88;5;Serviços Bancários
BBDCE;30,43;6;Serviços Bancários
BBDCE;129,44;7;Serviços Bancários
BBDCE;127,81;8;Serviços Bancários
BBDCE;130,2;9;Serviços Bancários
BBDCE;159,07;10;Serviços Bancários
BBDCE;143,09;11;Serviços Bancários
BBDCE;85,61;12;Serviços Bancários
BBDCE   /EB;199,78;6;Serviços Bancários
BBDCE   /ED;10,01;1;Serviços Bancários
BBDCE   /ED;20,02;2;Serviços Bancários
BBDCE   /ED;32,17;3;Serviços Bancários
BBDCE   /ED;35,3;4;Serviços Bancários
BBDCE   /ED;67,73;5;Serviços Bancários
BBDCE   /ED;32,72;6;Serviços Bancários
BBDCE   /ED;15,68;7;Serviços Bancários
BBDCE   /ED;26,27;8;Serviços Bancários
BBDCE   /ED;3,38;9;Serviços Bancários
BBDCE   /ED;11,86;10;Serviços Bancários
BBDCE   /ED;8,32;11;Serviços Bancários
BBDCE   /ED;5,08;12;Serviços Bancários
BBDCE   /EJ;7,15;7;Serviços Bancários
BBDCE   /EJ;2,79;12;Serviços Bancários
BBDCE   /EX;33,97;6;Serviços Bancários
BEMATECH;244,95;1;Outro
BEMATECH;225,3;2;Outro
BEMATECH;265,09;3;Outro
BEMATECH;255,21;4;Outro
BEMATECH;249,26;5;Outro
BEMATECH;281,54;6;Outro
BEMATECH;308,82;7;Outro
BEMATECH;405,02;8;Outro
BEMATECH;372,9;9;Outro
BEMATECH;419,51;10;Outro
BEMATECH;341,93;11;Outro
BEMATECH;407,47;12;Outro
BESC;48,53;1;Outro
BESC;20,36;2;Outro
BIC MONARK;550;1;Varejo
BIC MONARK;550;3;Varejo
BIC MONARK;450,01;4;Varejo
BIC MONARK;1615;5;Varejo
BIC MONARK;560;6;Varejo
BIC MONARK;1380;7;Varejo
BIC MONARK;820;8;Varejo
BIC MONARK;1010;10;Varejo
BIC MONARK;1640,01;11;Varejo
BIC MONARK;2025,01;12;Varejo
BICBANCO;368,16;1;Outro
BICBANCO;274,36;2;Outro
BICBANCO;374;3;Outro
BICBANCO;398,77;4;Outro
BICBANCO;468,76;5;Outro
BICBANCO;499,46;6;Outro
BICBANCO;738,12;7;Outro
BICBANCO;747,2;8;Outro
BICBANCO;722,21;9;Outro
BICBANCO;891,95;10;Outro
BICBANCO;697,77;11;Outro
BICBANCO;700,39;12;Outro
BIOMM;6,38;1;Outro
BIOMM;18,65;2;Outro
BIOMM;4,17;3;Outro
BIOMM;7,79;4;Outro
BIOMM;17,48;5;Outro
BIOMM;14,52;6;Outro
BIOMM;31,98;7;Outro
BIOMM;3,51;8;Outro
BIOMM;86,51;9;Outro
BIOMM;31,12;10;Outro
BIOMM;82,55;11;Outro
BIOMM;76,73;12;Outro
BISA;0,33;12;Outro
BMF BOVESPA;740,82;1;Outro
BMF BOVESPA;768,71;2;Outro
BMF BOVESPA;806,88;3;Outro
BMF BOVESPA;960,58;4;Outro
BMF BOVESPA;1189,86;5;Outro
BMF BOVESPA;259,97;6;Outro
BMFBOVESPA;1412,38;6;Outro
BMFBOVESPA;1732,68;7;Outro
BMFBOVESPA;1922,89;8;Outro
BMFBOVESPA;1993,92;9;Outro
BMFBOVESPA;2461,31;10;Outro
BMFBOVESPA;2143,41;11;Outro
BMFBOVESPA;2092,38;12;Outro
BNCA;12;1;Outro
BNCA;57,94;2;Outro
BNCA;15,99;6;Outro
BNCA;154,78;7;Outro
BNCA;72;8;Outro
BNCAE;7,86;7;Outro
BNCAE;67;8;Outro
BOMBRIL;167,27;1;Hiegene & Limpeza
BOMBRIL;107,3;2;Hiegene & Limpeza
BOMBRIL;141,33;3;Hiegene & Limpeza
BOMBRIL;131,27;4;Hiegene & Limpeza
BOMBRIL;216,72;5;Hiegene & Limpeza
BOMBRIL;251,64;6;Hiegene & Limpeza
BOMBRIL;188,46;7;Hiegene & Limpeza
BOMBRIL;210,55;8;Hiegene & Limpeza
BOMBRIL;277,7;9;Hiegene & Limpeza
BOMBRIL;264,83;10;Hiegene & Limpeza
BOMBRIL;261,95;11;Hiegene & Limpeza
BOMBRIL;377,5;12;Hiegene & Limpeza
BOTUCATU TE;4,33;1;Outro
BOTUCATU TE;8,76;2;Outro
BOTUCATU TE;12,82;3;Outro
BOTUCATU TE;9,27;4;Outro
BOTUCATU TE;10,06;5;Outro
BOTUCATU TE;8,6;6;Outro
BOTUCATU TE;12,54;7;Outro
BOTUCATU TE;8,64;8;Outro
BOTUCATU TE;9,97;9;Outro
BOTUCATU TE;14,17;10;Outro
BOTUCATU TE;11,49;11;Outro
BOTUCATU TE;9,63;12;Outro
BOVA;45,94;1;Outro
BOVA;147,49;3;Outro
BOVA;341,88;4;Outro
BOVA;448,92;5;Outro
BOVA;415,3;6;Outro
BOVA;437,61;7;Outro
BOVA;394,98;8;Outro
BOVA;325,53;9;Outro
BOVA;260,38;10;Outro
BOVA;62,32;11;Outro
BOVA;193,04;12;Outro
BOVAE;2,52;3;Outro
BOVAE;1,22;4;Outro
BOVAE;3,7;5;Outro
BOVAE;38,59;6;Outro
BOVAE;9,36;7;Outro
BOVAE;19,75;8;Outro
BOVAE;34,62;9;Outro
BOVAE;38,53;10;Outro
BOVAE;5,05;11;Outro
BOVAE;5,07;12;Outro
BR BROKERS;41,31;1;Outro
BR BROKERS;38,34;2;Outro
BR BROKERS;32,29;3;Outro
BR BROKERS;51,34;4;Outro
BR BROKERS;86,86;5;Outro
BR BROKERS;83,29;6;Outro
BR BROKERS;154,29;7;Outro
BR BROKERS;194,69;8;Outro
BR BROKERS;289,96;9;Outro
BR BROKERS;297,54;10;Outro
BR BROKERS;281,67;11;Outro
BR BROKERS;296,58;12;Outro
BR MALLS PA;431,84;1;Shoppings
BR MALLS PA;412,16;2;Shoppings
BR MALLS PA;566,61;3;Shoppings
BR MALLS PA;606,33;4;Shoppings
BR MALLS PA;731,69;5;Shoppings
BR MALLS PA;821,8;6;Shoppings
BR MALLS PA;924,02;7;Shoppings
BR MALLS PA;1001,02;8;Shoppings
BR MALLS PA;1067,93;9;Shoppings
BR MALLS PA;1462,17;10;Shoppings
BR MALLS PA;1003,11;11;Shoppings
BR MALLS PA;1506,43;12;Shoppings
BRADESCO;4788,88;1;Serviços Bancários
BRADESCO;3663,06;2;Serviços Bancários
BRADESCO;3939,07;3;Serviços Bancários
BRADESCO;4029,54;4;Serviços Bancários
BRADESCO;3876,52;5;Serviços Bancários
BRADESCO;4667,82;6;Serviços Bancários
BRADESCO;5308,01;7;Serviços Bancários
BRADESCO;4818,08;8;Serviços Bancários
BRADESCO;5341,85;9;Serviços Bancários
BRADESCO;5735,76;10;Serviços Bancários
BRADESCO;5317,83;11;Serviços Bancários
BRADESCO;5606,37;12;Serviços Bancários
BRADESPAR;2212,03;1;Serviços Bancários
BRADESPAR;1947,01;2;Serviços Bancários
BRADESPAR;2404,69;3;Serviços Bancários
BRADESPAR;2435,74;4;Serviços Bancários
BRADESPAR;2722,67;5;Serviços Bancários
BRADESPAR;3114,6;6;Serviços Bancários
BRADESPAR;3014,82;7;Serviços Bancários
BRADESPAR;3149,23;8;Serviços Bancários
BRADESPAR;3654,02;9;Serviços Bancários
BRADESPAR;4174,22;10;Serviços Bancários
BRADESPAR;3455,16;11;Serviços Bancários
BRADESPAR;3624,62;12;Serviços Bancários
BRAP;0,17;7;Outro
BRAP;28,41;8;Outro
BRAP;30;9;Outro
BRAP;1,79;10;Outro
BRAP;37,54;11;Outro
BRAPE;25,22;2;Outro
BRAPE;1,02;3;Outro
BRAPE;24,5;4;Outro
BRAPE;2,67;10;Outro
BRAPE;2;11;Outro
BRAPE;0,75;12;Outro
